"trilha","storyId","tituloHistoria","sceneNumber","textoNarracao","tomSugerido","audioFileName"
"Comece Aqui","creation","A Criação","1","No começo de tudo, antes de existir o sol, a lua e as estrelas, antes de existir qualquer flor, animal ou pessoa... não havia nada. Só escuridão e silêncio. Mas Deus estava lá! Deus existia antes de tudo. E dentro do coração de Deus havia um plano lindo: criar um mundo cheio de cores, vida e amor. A história mais bonita de todas estava prestes a começar!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_01.mp3"
"Comece Aqui","creation","A Criação","2","Deus falou pela primeira vez ao mundo vazio. Com uma voz cheia de poder e amor, Ele disse: ""HAJA LUZ!"" E aconteceu uma coisa maravilhosa — a luz apareceu! O escuro foi embora. O primeiro dia havia chegado. Deus olhou para a luz e viu que ela era boa! Desde aquele momento, Deus separou a luz das trevas e cada novo dia se tornou um presente de amor.","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_02.mp3"
"Comece Aqui","creation","A Criação","3","No segundo dia, Deus olhou para as águas que cobriam tudo. Ele criou um espaço especial e o chamou de céu! Com Sua palavra, Ele separou as águas de baixo das águas de cima. O céu azul imenso apareceu pela primeira vez — esticando-se de um lado ao outro, enorme e lindo. Deus estava fazendo um lar perfeito para tudo o que criaria depois.","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_03.mp3"
"Comece Aqui","creation","A Criação","4","No terceiro dia, Deus disse: ""Que as águas se juntem num só lugar e que apareça a terra seca!"" E assim foi! Mas não era só terra seca e vazia — Deus tinha mais planos! Ele mandou as plantas crescerem. E de repente, PRRRRR! Brotaram flores coloridas, árvores altas, gramados verdes e frutos saborosos por toda parte. A terra ficou linda e cheia de vida!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_04.mp3"
"Comece Aqui","creation","A Criação","5","No quarto dia, Deus criou duas luzes grandes: o sol para governar o dia — enorme, brilhante e quentinho! E a lua para governar a noite — prateada e misteriosa. E ainda pintou o céu noturno com milhões de estrelas brilhantes! Deus criou esses astros para marcar os dias, as estações e os anos. Cada amanhecer e cada pôr do sol são presentes de Deus para você!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_05.mp3"
"Comece Aqui","creation","A Criação","6","No quinto dia, Deus encheu o mar e o céu de vida! Ele criou todos os peixinhos do mar — grandes e pequenos, de todas as cores: vermelhos, amarelos, listrados, manchados, brilhantes! Depois criou os pássaros com asas de todas as formas e plumas de todas as cores. Deus os abençoou e disse: ""Crescei e multiplicai-vos!"" O mar ficou cheio de vida e o céu cheio de cantos alegres!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_06.mp3"
"Comece Aqui","creation","A Criação","7","No sexto dia, Deus criou os animais da terra — e que animais incríveis! Elefantes com tromba longa, girafas com pescoço altíssimo, leõezinhos rugindo, borboletas coloridas, coelhinhos pulando, cavalos galopando e tantos outros! Cada animal era diferente e perfeito do seu jeito. Deus olhou para aquela criação linda e viu que era muito boa. Mas ainda tinha uma coisa especial por vir...","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_07.mp3"
"Comece Aqui","creation","A Criação","8","No mesmo sexto dia, Deus fez algo muito especial. Ele disse: ""Vamos fazer o ser humano à Nossa imagem e semelhança!"" Com muito carinho, Deus criou o homem e a mulher. Eles eram diferentes de todos os outros seres — tinham algo único: eram feitos para se parecer com Deus, para amar, para cuidar da criação e para caminhar com Ele. Você também foi feito à imagem de Deus — você é muito especial!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_08.mp3"
"Comece Aqui","creation","A Criação","9","Depois de criar tudo — a luz, o céu, a terra, as plantas, o sol, a lua, os animais e as pessoas — Deus parou e olhou para tudo que havia feito. E o que Ele viu? Era MUITO BOM! Não apenas bom... muito bom! Cada flor no lugar certo. Cada estrela no lugar certo. Cada animal perfeito. Cada pessoa amada. Quando você olha para um pôr do sol ou para uma flor bonita, você está vendo a arte de Deus!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_09.mp3"
"Comece Aqui","creation","A Criação","10","No sétimo dia, Deus descansou de toda a Sua obra. Ele olhou para tudo que havia criado e estava satisfeito. Deus abençoou o sétimo dia e o tornou sagrado — um dia especial de descanso e alegria. Deus nos ensina que descansar é bom! A criação estava completa e era perfeita. Você é parte dessa criação maravilhosa — feito com amor pelo melhor Criador de todos!","Voz suave, encantada e bem pausada. Ritmo lento. Sorria enquanto fala — as crianças percebem. Faça uma pausa de 1–2 s entre frases longas.","audio_creation_scene_10.mp3"
