storyNumber,storyTitleFinal,storyTitlePrevious,biblicalReference,sceneNumber,audioFileName,appPath,textoFinalNarrar,direcaoDeVoz,sonoplastiaOpcional
01,A Criação,,Gênesis 1:1 a 2:3,01,creation_scene_01.mp3,assets/audio/creation/creation_scene_01.mp3,"Antes de existir o sol, a lua, as estrelas, as plantas, os animais e as pessoas, Deus já existia. Tudo ainda estava sem forma, vazio e escuro, mas Deus estava presente. Então Deus criou o mundo por sua palavra poderosa. A criação veio do cuidado e da vontade de Deus.","Voz tranquila, com admiração.","Ambiente suave, brilho leve surgindo aos poucos."
01,A Criação,,Gênesis 1:1 a 2:3,02,creation_scene_02.mp3,assets/audio/creation/creation_scene_02.mp3,"Deus disse: “Haja luz.” E a luz apareceu. Deus viu que a luz era boa e separou a luz das trevas. Assim chegou o primeiro dia. Desde o começo, Deus mostrou que sua palavra tem poder e que tudo o que Ele faz é bom.",Voz clara e alegre na fala “Haja luz”.,"Som delicado de brilho, sem explosão."
01,A Criação,,Gênesis 1:1 a 2:3,03,creation_scene_03.mp3,assets/audio/creation/creation_scene_03.mp3,"No segundo dia, Deus fez o firmamento e separou as águas. Deus chamou o firmamento de céu. O mundo estava sendo preparado com ordem, cuidado e beleza. O céu se abriu como um grande espaço sobre a criação.",Voz contemplativa.,"Vento leve, ambiente aberto."
01,A Criação,,Gênesis 1:1 a 2:3,04,creation_scene_04.mp3,assets/audio/creation/creation_scene_04.mp3,"No terceiro dia, Deus juntou as águas em seus lugares e fez aparecer a terra seca. Depois, Deus mandou a terra produzir plantas, árvores e frutos. A terra começou a ficar cheia de vida, com sementes, folhas e cores. Deus viu que tudo isso era bom.",Voz alegre e visual.,"Som suave de brotos e natureza, sem onomatopeia exagerada."
01,A Criação,,Gênesis 1:1 a 2:3,05,creation_scene_05.mp3,assets/audio/creation/creation_scene_05.mp3,"No quarto dia, Deus fez os luzeiros no céu. O maior para iluminar o dia, o menor para iluminar a noite, e também as estrelas. Eles marcariam os dias, as estações e os anos. Deus colocou ordem no tempo e beleza no céu.",Voz de encantamento.,"Ambiente noturno suave, cintilar discreto."
01,A Criação,,Gênesis 1:1 a 2:3,06,creation_scene_06.mp3,assets/audio/creation/creation_scene_06.mp3,"No quinto dia, Deus encheu as águas de seres vivos e criou as aves para voarem pelo céu. Peixes, grandes animais marinhos e pássaros passaram a fazer parte da criação. Deus os abençoou para que se multiplicassem. O mar e o céu ficaram cheios de vida.","Voz alegre, com ritmo leve.",Água suave e pássaros discretos.
01,A Criação,,Gênesis 1:1 a 2:3,07,creation_scene_07.mp3,assets/audio/creation/creation_scene_07.mp3,"No sexto dia, Deus criou os animais da terra, cada um conforme a sua espécie. Animais grandes, pequenos, fortes, mansos, rápidos e tranquilos. Cada criatura tinha seu lugar na criação. Deus viu que tudo era bom.",Voz divertida e cuidadosa.,"Sons suaves de animais ao fundo, sem assustar."
01,A Criação,,Gênesis 1:1 a 2:3,08,creation_scene_08.mp3,assets/audio/creation/creation_scene_08.mp3,"Ainda no sexto dia, Deus criou o ser humano à sua imagem. Deus criou homem e mulher, dando a eles valor especial. Eles foram chamados para cuidar da criação e viver perto de Deus. Cada pessoa tem dignidade, porque foi criada por Deus.",Voz amorosa e reverente.,Trilha suave e acolhedora.
01,A Criação,,Gênesis 1:1 a 2:3,09,creation_scene_09.mp3,assets/audio/creation/creation_scene_09.mp3,"Deus olhou para tudo o que havia feito: a luz, o céu, a terra, as plantas, os astros, os animais e as pessoas. E Deus viu que tudo era muito bom. A criação mostrava a bondade, a ordem e a beleza do Criador.","Voz celebrativa, sem pressa.",Música leve de conclusão.
01,A Criação,,Gênesis 1:1 a 2:3,10,creation_scene_10.mp3,assets/audio/creation/creation_scene_10.mp3,"No sétimo dia, Deus descansou de toda a obra que havia feito. Ele abençoou esse dia e o separou como especial. Deus nos ensina que descansar também faz parte do seu bom cuidado. A criação estava completa, e tudo apontava para o Criador.",Voz serena e finalizadora.,"Ambiente calmo, encerramento suave."
